,Number_filters,Filter_size,Number_deepNeurons,AUROC
1932,8,9,12,0.996928
1933,8,9,12,0.9854080000000001
1934,8,9,12,0.977344
1935,8,9,14,0.995456
1936,8,9,14,0.9925120000000001
1937,8,9,14,0.993536
1938,8,9,16,0.99168
1939,8,9,16,0.978688
1940,8,9,16,0.9888
1941,8,9,18,0.9827840000000001
1942,8,9,18,0.984
1943,8,9,18,0.985984
1944,9,1,2,0.9388799999999999
1945,9,1,2,0.938688
1946,9,1,2,0.895168
1947,9,1,4,0.900864
1948,9,1,4,0.929664
1949,9,1,4,0.904512
1950,9,1,6,0.8641279999999999
1951,9,1,6,0.875328
1952,9,1,6,0.9463039999999999
1953,9,1,8,0.8617599999999999
1954,9,1,8,0.9697919999999999
1955,9,1,8,0.8708480000000001
1956,9,1,10,0.943104
1957,9,1,10,0.92864
1958,9,1,10,0.9225599999999999
1959,9,1,12,0.909824
1960,9,1,12,0.8929920000000001
1961,9,1,12,0.8759680000000001
1962,9,1,14,0.893632
1963,9,1,14,0.918592
1964,9,1,14,0.8304
1965,9,1,16,0.9649920000000001
1966,9,1,16,0.934528
1967,9,1,16,0.9484799999999999
1968,9,1,18,0.9287039999999999
1969,9,1,18,0.922496
1970,9,1,18,0.883264
1971,9,2,2,0.953344
1972,9,2,2,0.8529279999999999
1973,9,2,2,0.9523199999999999
1974,9,2,4,0.97344
1975,9,2,4,0.9621759999999999
1976,9,2,4,0.786752
1977,9,2,6,0.994112
1978,9,2,6,0.96704
1979,9,2,6,0.955328
1980,9,2,8,0.9523840000000001
1981,9,2,8,0.966976
1982,9,2,8,0.924288
1983,9,2,10,0.942848
1984,9,2,10,0.972736
1985,9,2,10,0.972736
1986,9,2,12,0.954048
1987,9,2,12,0.97088
1988,9,2,12,0.950656
1989,9,2,14,0.9544320000000002
1990,9,2,14,0.952256
1991,9,2,14,0.91936
1992,9,2,16,0.9811840000000001
1993,9,2,16,0.960896
1994,9,2,16,0.9735039999999999
1995,9,2,18,0.8804479999999999
1996,9,2,18,0.9735039999999999
1997,9,2,18,0.952192
1998,9,3,2,0.9750399999999999
1999,9,3,2,0.9656960000000001
2000,9,3,2,0.966784
2001,9,3,4,0.97472
2002,9,3,4,0.974336
2003,9,3,4,0.9716480000000001
2004,9,3,6,0.9886079999999999
2005,9,3,6,0.961024
2006,9,3,6,0.969408
2007,9,3,8,0.9475199999999999
2008,9,3,8,0.98048
2009,9,3,8,0.9579520000000001
2010,9,3,10,0.991424
2011,9,3,10,0.989696
2012,9,3,10,0.990208
2013,9,3,12,0.968448
2014,9,3,12,0.963584
2015,9,3,12,0.992
2016,9,3,14,0.959488
2017,9,3,14,0.9376639999999999
2018,9,3,14,0.973568
2019,9,3,16,0.9507840000000001
2020,9,3,16,0.97696
2021,9,3,16,0.9928319999999999
2022,9,3,18,0.988288
2023,9,3,18,0.971456
2024,9,3,18,0.969792
2025,9,4,2,0.9654400000000001
2026,9,4,2,0.982208
2027,9,4,2,0.9565440000000001
2028,9,4,4,0.9653760000000001
2029,9,4,4,0.9667840000000001
2030,9,4,4,0.964224
2031,9,4,6,0.991616
2032,9,4,6,0.972928
2033,9,4,6,0.953728
2034,9,4,8,0.990528
2035,9,4,8,0.974976
2036,9,4,8,0.990848
2037,9,4,10,0.99552
2038,9,4,10,0.9851519999999999
2039,9,4,10,0.958208
2040,9,4,12,0.9815039999999999
2041,9,4,12,0.9921920000000002
2042,9,4,12,0.9767680000000001
2043,9,4,14,0.9729920000000001
2044,9,4,14,0.991808
2045,9,4,14,0.982336
2046,9,4,16,0.9936639999999999
2047,9,4,16,0.987328
2048,9,4,16,0.985152
2049,9,4,18,0.965312
2050,9,4,18,0.982656
2051,9,4,18,0.9895039999999999
2052,9,5,2,0.9850880000000001
2053,9,5,2,0.9549440000000001
2054,9,5,2,0.9859840000000001
2055,9,5,4,1.0
2056,9,5,4,0.9866879999999999
2057,9,5,4,0.997568
2058,9,5,6,0.98048
2059,9,5,6,0.9741440000000001
2060,9,5,6,0.978752
2061,9,5,8,0.9819519999999999
2062,9,5,8,0.986048
2063,9,5,8,0.985664
2064,9,5,10,0.98112
2065,9,5,10,0.984704
2066,9,5,10,0.9872
2067,9,5,12,0.9662719999999999
2068,9,5,12,0.987648
2069,9,5,12,0.9255680000000001
2070,9,5,14,0.996416
2071,9,5,14,0.997056
2072,9,5,14,0.9859200000000001
2073,9,5,16,0.990272
2074,9,5,16,0.990208
2075,9,5,16,0.99552
2076,9,5,18,0.988992
2077,9,5,18,0.9818239999999999
2078,9,5,18,0.993472
2079,9,6,2,0.983616
2080,9,6,2,0.998464
2081,9,6,2,0.983616
2082,9,6,4,0.9037439999999999
2083,9,6,4,0.996736
2084,9,6,4,0.991168
2085,9,6,6,0.9883519999999999
2086,9,6,6,0.9891200000000001
2087,9,6,6,0.981056
2088,9,6,8,0.988288
2089,9,6,8,0.984192
